
0,acyclic
1,antisymmetric
2,bijection
3,bijective
4,complete
5,empty
6,equivalence
7,function
8,functional
9,injective
10,irreflexive
11,partialOrder
12,preorder
13,reflexive
14,rootedAll
15,rootedOne
16,stronglyConnected
17,surjective
18,symmetric
19,total
20,totalOrder
21,transitive
22,weaklyConnected
