acyclic_State.State<:holds_GrabbedInOrder,1
acyclic_State.State<:holds_GrabOrRelease,1
acyclic_State.State<:holds_run1,1
acyclic_State.State<:holds_run2,1
acyclic_State.State<:holds_run5,-1
acyclic_State.State<:waits_GrabbedInOrder,1
acyclic_State.State<:waits_GrabOrRelease,1
acyclic_State.State<:waits_run1,1
acyclic_State.State<:waits_run2,1
acyclic_State.State<:waits_run5,-1
acyclic_State<:holds_GrabbedInOrder,0
acyclic_State<:holds_GrabOrRelease,0
acyclic_State<:holds_run1,0
acyclic_State<:holds_run2,0
acyclic_State<:holds_run5,0
acyclic_State<:holds.Mutex_GrabbedInOrder,1
acyclic_State<:holds.Mutex_GrabOrRelease,1
acyclic_State<:holds.Mutex_run1,1
acyclic_State<:holds.Mutex_run2,1
acyclic_State<:holds.Mutex_run5,-1
acyclic_State<:waits_GrabbedInOrder,0
acyclic_State<:waits_GrabOrRelease,0
acyclic_State<:waits_run1,0
acyclic_State<:waits_run2,0
acyclic_State<:waits_run5,0
acyclic_State<:waits.Mutex_GrabbedInOrder,1
acyclic_State<:waits.Mutex_GrabOrRelease,1
acyclic_State<:waits.Mutex_run1,1
acyclic_State<:waits.Mutex_run2,1
acyclic_State<:waits.Mutex_run5,-1
antisymmetric_State.State<:holds_GrabbedInOrder,1
antisymmetric_State.State<:holds_GrabOrRelease,1
antisymmetric_State.State<:holds_run1,1
antisymmetric_State.State<:holds_run2,1
antisymmetric_State.State<:holds_run5,-1
antisymmetric_State.State<:waits_GrabbedInOrder,1
antisymmetric_State.State<:waits_GrabOrRelease,1
antisymmetric_State.State<:waits_run1,1
antisymmetric_State.State<:waits_run2,1
antisymmetric_State.State<:waits_run5,-1
antisymmetric_State<:holds_GrabbedInOrder,0
antisymmetric_State<:holds_GrabOrRelease,0
antisymmetric_State<:holds_run1,0
antisymmetric_State<:holds_run2,0
antisymmetric_State<:holds_run5,0
antisymmetric_State<:holds.Mutex_GrabbedInOrder,1
antisymmetric_State<:holds.Mutex_GrabOrRelease,1
antisymmetric_State<:holds.Mutex_run1,1
antisymmetric_State<:holds.Mutex_run2,1
antisymmetric_State<:holds.Mutex_run5,-1
antisymmetric_State<:waits_GrabbedInOrder,0
antisymmetric_State<:waits_GrabOrRelease,0
antisymmetric_State<:waits_run1,0
antisymmetric_State<:waits_run2,0
antisymmetric_State<:waits_run5,0
antisymmetric_State<:waits.Mutex_GrabbedInOrder,1
antisymmetric_State<:waits.Mutex_GrabOrRelease,1
antisymmetric_State<:waits.Mutex_run1,1
antisymmetric_State<:waits.Mutex_run2,1
antisymmetric_State<:waits.Mutex_run5,-1
antisymmetric3_State.State<:holds_GrabbedInOrder,0
antisymmetric3_State.State<:holds_GrabOrRelease,0
antisymmetric3_State.State<:holds_run1,0
antisymmetric3_State.State<:holds_run2,0
antisymmetric3_State.State<:holds_run5,0
antisymmetric3_State.State<:waits_GrabbedInOrder,0
antisymmetric3_State.State<:waits_GrabOrRelease,0
antisymmetric3_State.State<:waits_run1,0
antisymmetric3_State.State<:waits_run2,0
antisymmetric3_State.State<:waits_run5,0
antisymmetric3_State<:holds_GrabbedInOrder,1
antisymmetric3_State<:holds_GrabOrRelease,1
antisymmetric3_State<:holds_run1,1
