
empty3,r,equivalence,r.C,1
empty3,r,transitive,A.r,1
empty3,r,rootedAll,r.C,1
empty3,r,irreflexive,A.r,1
empty3,r,irreflexive,r.C,1
empty3,r,transitive,r.C,1
empty3,r,transitive3,r,1
empty3,r,tripleRootedOne,r,1
empty3,r,rootedOne,r.C,1
empty3,r,reflexive,r.C,1
empty3,r,bijection,r.C,1
empty3,r,complete,A.r,1
empty3,r,tripleInjective,r,-1
empty3,r,partialOrder,r.C,1
empty3,r,bijection,A.r,1
empty3,r,oneDom,r,1
empty3,r,acyclic,r.C,-1
empty3,r,rootedAll,A.r,1
empty3,r,function,A.r,1
empty3,r,complete,r.C,1
empty3,r,empty,A.r,-1
empty3,r,total,A.r,1
empty3,r,weaklyConnected,r.C,1
empty3,r,acyclic,A.r,-1
empty3,r,irreflexive3,r,1
empty3,r,irreversible,r,1
empty3,r,antisymmetric,A.r,1
empty3,r,translative,r,1
empty3,r,totalOrder,r.C,1
empty3,r,tripleFunctional,r,-1
empty3,r,partialOrder,A.r,1
empty3,r,tripleComplete,r,1
empty3,r,weaklyTransitive,r,1
empty3,r,weaklyRegular,r,1
empty3,r,functional,A.r,-1
empty3,r,tripleSurjective,r,1
empty3,r,tripleStronglyConnected,r,1
empty3,r,symmetric3,r,1
empty3,r,reflexive,A.r,1
empty3,r,oneRange,r,1
empty3,r,equivalence,A.r,1
empty3,r,noDiamond,r,-1
empty3,r,preorder,r.C,1
empty3,r,tripleFunction,r,1
empty3,r,regular,r,1
empty3,r,tripleBijection,r,1
empty3,r,tripleSourcesAll,r,1
empty3,r,stronglyConnected,r.C,1
empty3,r,symmetric,r.C,1
empty3,r,antisymmetric,r.C,1
empty3,r,antisymmetric3,r,1
empty3,r,tripleTotal,r,1
empty3,r,preorder,A.r,1
empty3,r,stronglyConnected,A.r,1
empty3,r,functional,r.C,-1
empty3,r,cyclic,r,1
empty3,r,totalOrder,A.r,1
empty3,r,function,r.C,1
empty3,r,tripleBijective,r,1
empty3,r,symmetric,A.r,1
empty3,r,empty,r.C,-1
empty3,r,innerinjective,r,-1
empty3,r,weaklyConnected,A.r,1
empty3,r,weaklyTranslative,r,1
empty3,r,total,r.C,1
empty3,r,rootedOne,A.r,1
empty3,r,oneMiddle,r,1
innerinjective,r,equivalence,r.C,1
innerinjective,r,transitive,A.r,1
innerinjective,r,rootedAll,r.C,1
