
1,OrdDcrsStrc_SzGrwtStrc_Glbl_SdEnd_EmptNon_
2,OrdDcrsStrc_SzGrwtStrc_Glbl_SdEnd_EmptStrt_
3,OrdDcrsStrc_SzGrwtStrc_Glbl_SdMdl_EmptNon_
4,OrdDcrsStrc_SzGrwtStrc_Glbl_SdMdl_EmptStrt_
5,OrdDcrsStrc_SzGrwtStrc_Lcl_SdEnd_EmptNon_
6,OrdDcrsStrc_SzGrwtStrc_Lcl_SdEnd_EmptStrt_
7,OrdDcrsStrc_SzGrwtStrc_Lcl_SdMdl_EmptNon_
8,OrdDcrsStrc_SzGrwtStrc_Lcl_SdMdl_EmptStrt_
9,OrdDcrsStrc_SzGrwt_Glbl_SdEnd_EmptNon_
10,OrdDcrsStrc_SzGrwt_Glbl_SdEnd_EmptStrt_
11,OrdDcrsStrc_SzGrwt_Glbl_SdMdl_EmptNon_
12,OrdDcrsStrc_SzGrwt_Glbl_SdMdl_EmptStrt_
13,OrdDcrsStrc_SzGrwt_Lcl_SdEnd_EmptNon_
14,OrdDcrsStrc_SzGrwt_Lcl_SdEnd_EmptStrt_
15,OrdDcrsStrc_SzGrwt_Lcl_SdMdl_EmptNon_
16,OrdDcrsStrc_SzGrwt_Lcl_SdMdl_EmptStrt_
17,OrdDcrsStrc_SzNChng_Glbl_SdEnd_EmptNon_
18,OrdDcrsStrc_SzNChng_Glbl_SdMdl_EmptNon_
19,OrdDcrsStrc_SzNChng_Lcl_SdEnd_EmptNon_
20,OrdDcrsStrc_SzNChng_Lcl_SdMdl_EmptNon_
21,OrdDcrsStrc_SzShrnkStrc_Glbl_SdEnd_EmptEnd_
22,OrdDcrsStrc_SzShrnkStrc_Glbl_SdEnd_EmptNon_
23,OrdDcrsStrc_SzShrnkStrc_Glbl_SdMdl_EmptEnd_
24,OrdDcrsStrc_SzShrnkStrc_Glbl_SdMdl_EmptNon_
25,OrdDcrsStrc_SzShrnkStrc_Lcl_SdEnd_EmptEnd_
26,OrdDcrsStrc_SzShrnkStrc_Lcl_SdEnd_EmptNon_
27,OrdDcrsStrc_SzShrnkStrc_Lcl_SdMdl_EmptEnd_
28,OrdDcrsStrc_SzShrnkStrc_Lcl_SdMdl_EmptNon_
29,OrdDcrsStrc_SzShrnk_Glbl_SdEnd_EmptEnd_
