id,name
85,OrdIncrs_SzGrwtStrc_Lcl_SdEnd_EmptNon_
86,OrdIncrs_SzGrwtStrc_Lcl_SdEnd_EmptStrt_
87,OrdIncrs_SzGrwtStrc_Lcl_SdMdl_EmptNon_
88,OrdIncrs_SzGrwtStrc_Lcl_SdMdl_EmptStrt_
89,OrdIncrs_SzNChng_Glbl_SdEnd_EmptNon_
90,OrdIncrs_SzNChng_Glbl_SdMdl_EmptNon_
91,OrdIncrs_SzNChng_Lcl_SdEnd_EmptNon_
92,OrdIncrs_SzNChng_Lcl_SdMdl_EmptNon_
93,OrdIncrs_SzShrnk_Glbl_SdEnd_EmptEnd_
94,OrdIncrs_SzShrnk_Glbl_SdEnd_EmptNon_
95,OrdIncrs_SzShrnk_Glbl_SdMdl_EmptEnd_
96,OrdIncrs_SzShrnk_Glbl_SdMdl_EmptNon_
97,OrdIncrs_SzShrnk_Lcl_SdEnd_EmptEnd_
98,OrdIncrs_SzShrnk_Lcl_SdEnd_EmptNon_
99,OrdIncrs_SzShrnk_Lcl_SdMdl_EmptEnd_
100,OrdIncrs_SzShrnk_Lcl_SdMdl_EmptNon_
101,OrdIncrs_SzShrnkStrc_Glbl_SdEnd_EmptEnd_
102,OrdIncrs_SzShrnkStrc_Glbl_SdEnd_EmptNon_
103,OrdIncrs_SzShrnkStrc_Glbl_SdMdl_EmptEnd_
104,OrdIncrs_SzShrnkStrc_Glbl_SdMdl_EmptNon_
105,OrdIncrs_SzShrnkStrc_Lcl_SdEnd_EmptEnd_
106,OrdIncrs_SzShrnkStrc_Lcl_SdEnd_EmptNon_
107,OrdIncrs_SzShrnkStrc_Lcl_SdMdl_EmptEnd_
108,OrdIncrs_SzShrnkStrc_Lcl_SdMdl_EmptNon_
109,OrdIncrsStrc_SzGrwt_Glbl_SdEnd_EmptNon_
110,OrdIncrsStrc_SzGrwt_Glbl_SdEnd_EmptStrt_
111,OrdIncrsStrc_SzGrwt_Glbl_SdMdl_EmptNon_
112,OrdIncrsStrc_SzGrwt_Glbl_SdMdl_EmptStrt_
113,OrdIncrsStrc_SzGrwt_Lcl_SdEnd_EmptNon_
114,OrdIncrsStrc_SzGrwt_Lcl_SdEnd_EmptStrt_
115,OrdIncrsStrc_SzGrwt_Lcl_SdMdl_EmptNon_
116,OrdIncrsStrc_SzGrwt_Lcl_SdMdl_EmptStrt_
117,OrdIncrsStrc_SzGrwtStrc_Glbl_SdEnd_EmptNon_
118,OrdIncrsStrc_SzGrwtStrc_Glbl_SdEnd_EmptStrt_
119,OrdIncrsStrc_SzGrwtStrc_Glbl_SdMdl_EmptNon_
120,OrdIncrsStrc_SzGrwtStrc_Glbl_SdMdl_EmptStrt_
121,OrdIncrsStrc_SzGrwtStrc_Lcl_SdEnd_EmptNon_
122,OrdIncrsStrc_SzGrwtStrc_Lcl_SdEnd_EmptStrt_
123,OrdIncrsStrc_SzGrwtStrc_Lcl_SdMdl_EmptNon_
124,OrdIncrsStrc_SzGrwtStrc_Lcl_SdMdl_EmptStrt_
125,OrdIncrsStrc_SzNChng_Glbl_SdEnd_EmptNon_
126,OrdIncrsStrc_SzNChng_Glbl_SdMdl_EmptNon_
127,OrdIncrsStrc_SzNChng_Lcl_SdEnd_EmptNon_
128,OrdIncrsStrc_SzNChng_Lcl_SdMdl_EmptNon_
129,OrdIncrsStrc_SzShrnk_Glbl_SdEnd_EmptEnd_
130,OrdIncrsStrc_SzShrnk_Glbl_SdEnd_EmptNon_
131,OrdIncrsStrc_SzShrnk_Glbl_SdMdl_EmptEnd_
132,OrdIncrsStrc_SzShrnk_Glbl_SdMdl_EmptNon_
133,OrdIncrsStrc_SzShrnk_Lcl_SdEnd_EmptEnd_
134,OrdIncrsStrc_SzShrnk_Lcl_SdEnd_EmptNon_
135,OrdIncrsStrc_SzShrnk_Lcl_SdMdl_EmptEnd_
136,OrdIncrsStrc_SzShrnk_Lcl_SdMdl_EmptNon_
137,OrdIncrsStrc_SzShrnkStrc_Glbl_SdEnd_EmptEnd_
138,OrdIncrsStrc_SzShrnkStrc_Glbl_SdEnd_EmptNon_
139,OrdIncrsStrc_SzShrnkStrc_Glbl_SdMdl_EmptEnd_
140,OrdIncrsStrc_SzShrnkStrc_Glbl_SdMdl_EmptNon_
141,OrdIncrsStrc_SzShrnkStrc_Lcl_SdEnd_EmptEnd_
142,OrdIncrsStrc_SzShrnkStrc_Lcl_SdEnd_EmptNon_
143,OrdIncrsStrc_SzShrnkStrc_Lcl_SdMdl_EmptEnd_
144,OrdIncrsStrc_SzShrnkStrc_Lcl_SdMdl_EmptNon_
145,SzGrwt_Glbl_SdEnd_EmptNon_
146,SzGrwt_Glbl_SdEnd_EmptStrt_
147,SzGrwt_Glbl_SdMdl_EmptNon_
148,SzGrwt_Glbl_SdMdl_EmptStrt_
149,SzGrwt_Lcl_SdEnd_EmptNon_
150,SzGrwt_Lcl_SdEnd_EmptStrt_
151,SzGrwt_Lcl_SdMdl_EmptNon_
152,SzGrwt_Lcl_SdMdl_EmptStrt_
153,SzGrwtStrc_Glbl_SdEnd_EmptNon_
154,SzGrwtStrc_Glbl_SdEnd_EmptStrt_
155,SzGrwtStrc_Glbl_SdMdl_EmptNon_
156,SzGrwtStrc_Glbl_SdMdl_EmptStrt_
157,SzGrwtStrc_Lcl_SdEnd_EmptNon_
158,SzGrwtStrc_Lcl_SdEnd_EmptStrt_
159,SzGrwtStrc_Lcl_SdMdl_EmptNon_
